douban_id,imdb
19972826,tt1855273
19972828,tt2420818
19972829,tt0016646
19972833,tt2186933
19972853,tt2402956
19972953,tt0290184
19972960,tt2091317
19972985,tt1736159
19972992,tt0078244
19973010,tt2147550
19973012,tt2136914
19973074,tt1798787
19973098,tt1949289
19973114,tt1632780
19973228,tt1894428
19973312,tt2385306
19973313,tt2401719
19973315,tt1655566
19973372,tt0228955
19973374,tt6025558
19973376,tt6025302
19973377,tt0287651
19973388,tt2715870
19973390,tt2436416
19973397,tt2595454
19973403,tt2290739
19973424,tt4308644
19973429,tt3443014
19973632,tt0152444
19973744,tt2371264
19973745,tt1502393
19973753,tt2104062
19973758,tt2429800
19973780,tt2431286
19973791,tt2023638
19973799,tt1517190
19973804,tt2703716
19973806,tt2753048
19973815,tt2910520
19973816,tt6773982
19973817,tt6777462
19973818,tt6777502
19973820,tt3341598
19973821,tt2703708
19973827,tt7155248
19973855,tt2362991
19973859,tt1479963
19973990,tt2304953
19973996,tt2108273
19973998,tt1720293
19974015,tt2120128
19974016,tt1829708
19974018,tt2257030
19974173,tt2327453
19974182,tt2365879
19974220,tt2390217
19974221,tt2350608
19974223,tt2091398
19974285,tt2409818
19974376,tt2284754
19974399,tt2385324
19974417,tt2235876
19974422,tt2209180
19974430,tt2179203
19974447,tt2414046
19974631,tt2407420
19974666,tt1913060
19974668,tt2243275
19974800,tt2294548
19974802,tt2428392
19974805,tt2400336
19974921,tt2223644
19975076,tt7115286
19975081,tt0071319
19975083,tt2622982
19975090,tt3259968
19975091,tt13034054
19975104,tt2641866
19975107,tt2509008
19975267,tt0117391
19975326,tt2279300
19975328,tt2167266
19975354,tt2401440
19975357,tt2305717
19975359,tt2357807
19975362,tt2132308
19975664,tt2078586
19975889,tt2057956
19975974,tt2375355
19976016,tt2360267
19976035,tt0254835
19976037,tt2281267
19976046,tt2482480
19976047,tt2482482
19976050,tt6611066
19976059,tt2294497
19976075,tt1513808
19976099,tt2929068
19976109,tt1830154
19976110,tt1954202
19976111,tt2406376
19976157,tt0127035
19976178,tt0031497
19976180,tt2508478
19976202,tt2414212
19976260,tt1935914
19976317,tt2382396
19976444,tt1276992
19976475,tt1991567
19976476,tt2090181
19976477,tt2155949
19976567,tt2199511
19976569,tt0301112
19976578,tt2104052
19976589,tt2325538
19976595,tt2330444
19976622,tt0122547
19976663,tt1757830
19976773,tt2465992
19976774,tt2452254
19976777,tt2626926
19976795,tt2210324
19976799,tt1994598
19976807,tt1277951
19976824,tt2852692
19976836,tt6289296
19976842,tt12307070
19976850,tt1573111
19976858,tt2153468
19976871,tt0122001
19976887,tt2496366
19976888,tt2536306
19976900,tt2033250
19976901,tt2414166
19976906,tt1969151
19976913,tt1744888
19976934,tt1667079
19977136,tt2403883
19977517,tt1587375
19977636,tt1770636
19977779,tt1748260
19977797,tt2392332
19977802,tt2235902
19977804,tt2522082
19977815,tt3408808
19977818,tt6419420
19977820,tt2898172
19977830,tt12106814
19977864,tt2180529
19977875,tt1865484
19977901,tt9535902
19977993,tt2158731
19977995,tt2406306
19984551,tt2998182
19984570,tt2186781
19984668,tt0360426
19984694,tt1754700
19985299,tt0361036
19991051,tt2433190
19992516,tt2271279
19992521,tt2359325
19992522,tt2193214
19994946,tt0126005
19994974,tt5051224
19994985,tt2231820
19995102,tt2245173
19995413,tt2196053
19996011,tt0129602
19996240,tt1575425
19996244,tt1718169
19996246,tt0094810
19996753,tt2239920
19997044,tt1606327
19997047,tt1620501
19997342,tt2429484
19997828,tt5836194
19997901,tt3198484
19997903,tt2474392
19997904,tt2440366
19997906,tt2460188
19997907,tt2456228
19997908,tt2493496
19997909,tt2472026
19997917,tt2973638
19997930,tt2973702
19997932,tt2991088
19997950,tt2304662
19997965,tt2596090
19997999,tt4683618
19998111,tt1950284
19998157,tt2343140
19998171,tt16246362
19998197,tt5545962
19998213,tt2130271
19999107,tt2412586
19999392,tt0029880
19999394,tt1590271
19999397,tt0104214
19999402,tt1442398
19999409,tt2170371
19999411,tt1692235
19999414,tt2049511
19999419,tt0125455
19999423,tt2382108
19999428,tt2378428
19999678,tt1355546
19999681,tt2245544
19999683,tt1773047
19999684,tt1839450
19999686,tt1683403
19999688,tt1773112
19999893,tt0133225
20000072,tt2414454
20000079,tt2166494
20000085,tt2240784
20002750,tt2265398
20002778,tt1971571
20002782,tt2338385
20002822,tt2250234
20002930,tt2328623
20003349,tt2277274
20003423,tt1291547
20003432,tt0050232
20003439,tt0072106
20003475,tt0207430
20003477,tt0190969
20003494,tt0212603
20003510,tt0204265
20003527,tt2208018
20013137,tt2115306
20013347,tt2215842
20013705,tt2259306
20015470,tt4419900
20015503,tt4085976
20015558,tt3042330
20015602,tt3202034
20015650,tt2605976
20015692,tt2539430
20015885,tt3975288
20016764,tt2361616
20017314,tt2451110
20017905,tt3793704
20018144,tt2880412
20018623,tt1748406
20019400,tt16494944
20020315,tt2612376
20020541,tt4301494
20020575,tt2605726
20020577,tt3469964
20020912,tt2505568
20026380,tt2461736
20027847,tt2482774
20078153,tt2181845
20080594,tt2347349
20086665,tt1924400
20088223,tt1978594
20091867,tt2331113
20094135,tt2151982
20103240,tt2215043
20107549,tt1819601
20107639,tt2327541
20131638,tt2550838
20132701,tt2124759
20133028,tt2095671
20133095,tt2276053
20133363,tt2219412
20133523,tt2096674
20135052,tt2056589
20147257,tt2083368
20148480,tt2323246
20148610,tt2076913
20149992,tt2261700
20150683,tt2302531
20152399,tt2083922
20152501,tt0235694
20152546,tt2399776
20152578,tt0269738
20253499,tt2246791
20253521,tt2059031
20253627,tt1832363
20253748,tt2627642
20253754,tt2577408
20253755,tt3838624
20253773,tt9023478
20253789,tt4451322
20253940,tt1552224
20254185,tt1245214
20254219,tt3173512
20254226,tt5655550
20254243,tt2458776
20254267,tt2222484
20254270,tt4499388
20254279,tt3009720
20254280,tt11314572
20254282,tt2538654
20254349,tt2072145
20254350,tt2397176
20254357,tt2417404
20254358,tt1605151
20254360,tt2388753
20254362,tt2095613
20254363,tt2372678
20254364,tt2423132
20254365,tt2213054
20254366,tt2344678
20254545,tt0193841
20254565,tt1830753
20254648,tt1919062
20254653,tt0139704
20254777,tt2375097
