douban_id,imdb_id,Title,Year,Directors,Actors,Genres,Country,Runtime,YourRating_douban,YourRating_imdb,DateRated_First,DateRated_douban,DateRated_imdb,PublicRating_douban,Votes_douban,PublicRating_imdb,Votes_imdb,URL_douban,URL_imdb
1295384.0,tt0120201,星河战队,1997,保罗·范霍文,"卡斯帕·范·迪恩, 迪娜·迈耶, 丹妮丝·理查兹","动作, 科幻, 惊悚",美国,129.0,3.0,6.0,2021-04-04,2021-04-04,2022-07-24,8.0,114688.0,7.3,337810.0,https://movie.douban.com/subject/1295384/,https://www.imdb.com/title/tt0120201/
1295877.0,tt0120263,二楼传来的歌声,2000,罗伊·安德森,"拉斯·诺德, 本基特·卡尔森, Stefan Larsson","剧情, 喜剧",丹麦 挪威 瑞典,98.0,3.0,7.0,2022-12-04,2022-12-04,2023-02-28,8.1,12978.0,7.5,21096.0,https://movie.douban.com/subject/1295877/,https://www.imdb.com/title/tt0120263/
1296177.0,tt0120265,樱桃的滋味,1997,阿巴斯·基亚罗斯塔米,"赫玛永·厄沙迪, 阿卜杜拉曼·巴赫里, 阿夫欣·呼罗希德·巴赫蒂亚里",剧情,法国 伊朗,95.0,4.0,8.0,2025-04-24,2025-04-24,2025-08-16,8.1,46397.0,7.7,40905.0,https://movie.douban.com/subject/1296177/,https://www.imdb.com/title/tt0120265/
1292722.0,tt0120338,泰坦尼克号,1997,詹姆斯·卡梅隆,"莱昂纳多·迪卡普里奥, 凯特·温斯莱特, 比利·赞恩","剧情, 爱情, 灾难",美国 墨西哥,194.0,5.0,10.0,2017-07-06,2017-07-06,2017-08-15,9.5,2430618.0,7.9,1352112.0,https://movie.douban.com/subject/1292722/,https://www.imdb.com/title/tt0120338/
1291574.0,tt0120363,玩具总动员2,1999,"约翰·拉塞特, 艾什·布兰农, 李·昂克里奇","汤姆·汉克斯, 蒂姆·艾伦, 琼·库萨克","喜剧, 动画, 奇幻",美国,92.0,4.0,8.0,2023-09-05,2023-09-05,2023-09-24,8.5,280781.0,7.9,650923.0,https://movie.douban.com/subject/1291574/,https://www.imdb.com/title/tt0120363/
1292064.0,tt0120382,楚门的世界,1998,彼得·威尔,"金·凯瑞, 劳拉·琳妮, 艾德·哈里斯","剧情, 科幻",美国,103.0,4.0,9.0,2017-06-25,2017-06-25,2017-08-15,9.4,1956070.0,8.2,1305788.0,https://movie.douban.com/subject/1292064/,https://www.imdb.com/title/tt0120382/
1303453.0,tt0120408,鳗鱼,1997,今村昌平,"役所广司, 清水美沙, 常田富士男","剧情, 犯罪",日本,117.0,4.0,8.0,2019-07-29,2019-07-29,2019-10-04,7.9,17547.0,7.3,6756.0,https://movie.douban.com/subject/1303453/,https://www.imdb.com/title/tt0120408/
1296436.0,tt0120543,有话好好说,1997,张艺谋,"姜文, 李保田, 瞿颖","剧情, 喜剧",中国大陆,93.0,5.0,10.0,2018-02-05,2018-02-05,2025-08-16,8.5,266590.0,7.2,2420.0,https://movie.douban.com/subject/1296436/,https://www.imdb.com/title/tt0120543/
1293527.0,tt0120586,美国X档案,1998,托尼·凯耶,"爱德华·诺顿, 爱德华·福隆, 比佛莉·德安姬罗","剧情, 犯罪",美国,119.0,3.0,6.0,2025-04-21,2025-04-21,2025-08-16,8.4,106238.0,8.5,1241560.0,https://movie.douban.com/subject/1293527/,https://www.imdb.com/title/tt0120586/
1292279.0,tt0120601,成为约翰·马尔科维奇,1999,斯派克·琼斯,"约翰·库萨克, 卡梅隆·迪亚兹, 凯瑟琳·基纳","剧情, 喜剧, 爱情",美国,113.0,4.0,8.0,2019-01-08,2019-01-08,2019-05-30,8.3,74012.0,7.7,363968.0,https://movie.douban.com/subject/1292279/,https://www.imdb.com/title/tt0120601/
1295229.0,tt0120616,木乃伊,1999,斯蒂芬·索莫斯,"布兰登·费舍, 蕾切尔·薇兹, 约翰·汉纳","剧情, 动作, 奇幻",美国,124.0,3.0,6.0,2019-10-06,2019-10-06,2022-07-24,7.9,211283.0,7.1,486626.0,https://movie.douban.com/subject/1295229/,https://www.imdb.com/title/tt0120616/
